ru250m;pop_tot
19465006620500;19
19465006621000;2
19465006622250;2
19465006622500;6
19465006623000;8
19465006624000;21
19465006624250;16
19465006624500;6
19465006625250;4
19465006625500;12
19465006653500;1
19465006662500;2
19465006662750;8
19465006663000;5
19465006666750;28
19465006667000;19
19465006667750;5
19465006668000;6
19465006668250;17
19465006668750;4
19465006669250;10
19465006722000;9
19465006722250;28
19465006722500;30
19465006722750;11
19465006733250;13
19465006743750;4
19465006751000;15
19465006751250;10
19465006753000;1
19465006753250;9
19465006753500;17
19465006817000;2
19467506599500;7
19467506611500;4
19467506611750;38
19467506612000;13
19467506612250;51
19467506612500;42
19467506618750;27
19467506619500;2
19467506619750;7
19467506620000;4
19467506620250;15
19467506620500;5
19467506620750;5
19467506622000;2
19467506622750;26
19467506623000;11
19467506623250;10
19467506623750;2
19467506624500;6
19467506625000;1
19467506625250;23
19467506625500;29
19467506625750;3
19467506626000;6
19467506646250;19
19467506653500;3
19467506653750;4
19467506655750;2
19467506662750;9
19467506666500;15
19467506666750;10
19467506667000;9
19467506667250;9
19467506667750;13
19467506668000;11
19467506668250;36
19467506668500;14
19467506668750;20
19467506669000;25
19467506669250;12
19467506678000;2
19467506681000;3
19467506681250;8
19467506721500;2
19467506722000;22
19467506722250;28
19467506722500;59
19467506722750;53
19467506723000;12
19467506729250;7
19467506729500;25
19467506729750;15
19467506733250;15
19467506733500;8
19467506733750;6
19467506743500;2
19467506743750;36
19467506744000;24
19467506750250;23
19467506750500;23
19467506750750;35
19467506751000;38
19467506751250;18
19467506753000;12
19467506753250;15
19467506753500;16
19467506753750;49
19467506754000;14
19467506784500;4
19467506784750;2
19467506808250;1
19470006599750;1
19470006611250;5
19470006611500;7
19470006611750;59
19470006612000;27
19470006612250;8
19470006612500;7
19470006618500;3
19470006618750;21
19470006619250;9
19470006619750;3
19470006620000;2
19470006620250;21
19470006620500;1
19470006620750;9
19470006622000;14
19470006622250;3
19470006622500;22
19470006622750;29
19470006623500;2
19470006623750;4
19470006624000;3
19470006624250;3
19470006624500;3
19470006625000;3
19470006625250;4
19470006625500;36
19470006625750;82
19470006626000;82
19470006626250;2
19470006646500;9
19470006647250;11
19470006655750;4
19470006656250;1
19470006662750;14
19470006663000;5
19470006663500;1
19470006667750;42
19470006668000;32
19470006668250;18
19470006668750;16
19470006669000;28
19470006669250;16
19470006678000;5
19470006679750;1
19470006680750;14
19470006681000;6
19470006712500;1
19470006721250;6
19470006721500;6
19470006722000;6
19470006722250;19
19470006722500;18
19470006722750;30
19470006723000;8
19470006729250;22
19470006729500;10
19470006729750;2
19470006733000;12
19470006733250;14
19470006733500;29
19470006733750;7
19470006743250;3
19470006743500;6
19470006743750;34
19470006744000;19
19470006750250;2
19470006750500;16
19470006750750;9
19470006751000;49
19470006751250;22
19470006752750;10
19470006753000;6
19470006753250;8
19470006753500;16
19470006783500;2
19470006783750;3
19470006784500;13
19470006807750;2
19470006808000;3
19470006808250;8
19472506611250;5
19472506611500;12
19472506611750;46
19472506612000;11
19472506612250;10
19472506612500;10
19472506618500;11
19472506619000;16
19472506619250;3
19472506619500;10
19472506619750;17
19472506620000;10
19472506620250;5
19472506620750;3
19472506621000;3
19472506622000;2
19472506622250;9
19472506622500;5
19472506623500;6
19472506623750;4
19472506624000;6
19472506624250;3
19472506624500;12
19472506624750;5
19472506625000;9
19472506625250;14
19472506625500;13
19472506625750;50
19472506626000;74
19472506646500;4
19472506647250;12
19472506647500;13
19472506656000;2
19472506656250;1
19472506667750;7
19472506668000;18
19472506668500;1
19472506669000;4
19472506669750;46
19472506670000;3
19472506679250;5
19472506681000;12
19472506681250;5
19472506681500;7
19472506721000;6
19472506721250;11
19472506721500;10
19472506721750;9
19472506722000;41
19472506722250;12
19472506722500;57
19472506722750;47
19472506723000;12
19472506728500;4
19472506729250;2
19472506729750;7
19472506733000;3
19472506733250;11
19472506733500;7
19472506733750;2
19472506749500;23
19472506749750;13
19472506750250;31
19472506750500;39
19472506750750;18
19472506751000;105
19472506751250;9
19472506783750;9
19472506826000;3
19472506826250;9
19475006600250;1
19475006602500;2
19475006611250;116
19475006611500;46
19475006611750;31
19475006612000;16
19475006612250;8
19475006618750;2
19475006619000;7
19475006619250;7
19475006619500;6
19475006619750;2
19475006620000;10
19475006621000;12
19475006621250;8
19475006621500;3
19475006621750;18
19475006622000;4
19475006622500;30
19475006624500;9
19475006624750;14
19475006625000;5
19475006625250;2
19475006625500;53
19475006625750;90
19475006626000;43
19475006629250;7
19475006646500;7
19475006646750;7
19475006647500;10
19475006651750;1
19475006654500;4
19475006654750;2
19475006656000;2
19475006656250;6
19475006656750;1
19475006667750;2
19475006669000;5
19475006669250;7
19475006669500;14
19475006669750;37
19475006670000;22
19475006670250;10
19475006670500;13
19475006678000;11
19475006680500;2
19475006681250;3
19475006691000;2
19475006691250;7
19475006691500;1
19475006691750;7
19475006717000;10
19475006717500;3
19475006721250;18
19475006721500;3
19475006721750;8
19475006722000;20
19475006722250;19
19475006722500;9
19475006722750;3
19475006728000;12
19475006728250;12
19475006729000;2
19475006729250;10
19475006729750;3
19475006732000;2
19475006732500;2
19475006732750;8
19475006733000;10
19475006733250;5
19475006749500;29
19475006749750;18
19475006750000;60
19475006750250;64
19475006750500;49
19475006750750;18
19475006751250;36
19475006783750;4
19475006785500;2
19475006785750;3
19477506600750;1
19477506601500;6
19477506602250;3
19477506602500;3
19477506611000;5
19477506611250;79
19477506611500;142
19477506611750;41
19477506612000;37
19477506612250;23
19477506614500;2
19477506614750;11
19477506615000;3
19477506616750;4
19477506617750;8
19477506618000;45
19477506618250;28
19477506618750;8
19477506619250;13
19477506619500;7
19477506619750;1
19477506620000;44
19477506621250;11
19477506621500;4
19477506621750;4
19477506622250;23
19477506622500;3
19477506622750;17
19477506624500;11
19477506624750;6
19477506625000;19
19477506625250;59
19477506625500;37
19477506625750;35
19477506626750;5
19477506629250;184
19477506629500;33
19477506646500;1
19477506646750;12
19477506647000;35
19477506647250;9
19477506647500;17
19477506647750;2
19477506650750;16
19477506651000;1
19477506651250;5
19477506654750;9
19477506656250;4
19477506656500;1
19477506667000;3
19477506667250;22
19477506667500;14
19477506667750;5
19477506669500;31
19477506669750;27
19477506670000;4
19477506670250;36
19477506670500;1
19477506672250;14
19477506672500;8
19477506677750;6
19477506691250;9
19477506691500;21
19477506691750;9
19477506692000;1
19477506717000;13
19477506717250;3
19477506717500;9
19477506721250;5
19477506721750;5
19477506722500;5
19477506727750;6
19477506728000;16
19477506728250;16
19477506728750;3
19477506729750;7
19477506730000;6
19477506730250;6
19477506730500;18
19477506732250;2
19477506732500;5
19477506732750;33
19477506733000;23
19477506749000;14
19477506749250;57
19477506749500;64
19477506749750;63
19477506750000;47
19477506815500;3
19477506839750;2
19477506840000;5
19480006602750;2
19480006603250;7
19480006611500;128
19480006611750;40
19480006612000;138
19480006612250;109
19480006614250;4
19480006614500;6
19480006614750;5
19480006615000;2
19480006615250;1
19480006615750;46
19480006616000;23
19480006616250;122
19480006616500;68
19480006616750;1
19480006617000;2
19480006617250;9
19480006617500;13
19480006617750;37
19480006618000;113
19480006618250;65
19480006618500;29
19480006618750;19
19480006619000;50
19480006619250;8
19480006619500;55
19480006619750;18
19480006620000;18
19480006620250;2
19480006620500;19
19480006620750;14
19480006621000;11
19480006621250;4
19480006621750;3
19480006622250;3
19480006622500;2
19480006624000;22
19480006624250;32
19480006624500;2
19480006624750;1
19480006625000;41
19480006625250;46
19480006626750;243
19480006627000;72
19480006628750;112
19480006629000;96
19480006629250;91
19480006629500;14
19480006629750;11
19480006646750;22
19480006647000;7
19480006647250;10
19480006647500;38
19480006647750;21
19480006651500;1
19480006652250;6
19480006656500;2
19480006658250;8
19480006659250;2
19480006666750;25
19480006667000;31
19480006667250;15
19480006667500;12
19480006669500;15
19480006669750;42
19480006670250;14
19480006670500;1
19480006670750;6
19480006672500;10
19480006672750;4
19480006677500;4
19480006680500;19
19480006680750;1
19480006691000;2
19480006691250;2
19480006691500;2
19480006691750;8
19480006694000;3
19480006694250;1
19480006717500;5
19480006721250;19
19480006727500;6
19480006727750;23
19480006728250;6
19480006728500;16
19480006728750;10
19480006731750;2
19480006732000;8
19480006732750;24
19480006733000;28
19480006747000;8
19480006747250;44
19480006749000;9
19480006749250;65
19480006749500;142
19480006749750;18
19480006750000;20
19480006784250;10
19480006813750;4
19480006820000;1
19480006839750;5
19482506603250;3
19482506611000;48
19482506611250;224
19482506611500;157
19482506611750;11
19482506612000;86
19482506612250;84
19482506612500;96
19482506612750;49
19482506613000;70
19482506613500;5
19482506613750;5
19482506614000;12
19482506614250;4
19482506614500;27
19482506614750;5
19482506615000;10
19482506615250;5
19482506615500;6
19482506615750;113
19482506616000;13
